name,twitter_name,constituency,party,followers,pos_change
Adam Afriyie,@AdamAfriyie,Windsor,Conservative,9928, 4
Adam Holloway,@AdamHollowayMP,Gravesham,Conservative,816, 2
Alan Duncan,@AlanDuncanMP,Rutland and Melton,Conservative,16808, 7
Alan Mak,@AlanMakMP,Havant,Conservative,5763, 5
Alberto Costa,@AlbertoCostaMP,South Leicestershire,Conservative,3475, 7
Alec Shelbrooke,@AlecShelbrooke,Elmet and Rothwell,Conservative,11275, -1
Alex Burghart,@alexburghart,Brentwood and Ongar,Conservative,2037, 0
Alex Chalk,@AlexChalkChelt,Cheltenham,Conservative,4814, 4
Alistair Burt,@AlistairBurtUK,North East Bedfordshire,Conservative,15897, 14
Alok Sharma,@AlokSharma_RDG,Reading West,Conservative,10683, -4
Alun Cairns,@AlunCairns,Vale of Glamorgan,Conservative,10827, 2
Amanda Milling,@amandamilling,Cannock Chase,Conservative,4753, 8
Amber Rudd,@AmberRuddHR,Hastings and Rye,Conservative,51331, 43
Andrea Jenkyns,@andreajenkyns,Morley and Outwood,Conservative,8643, 9
Andrea Leadsom,@andrealeadsom,South Northamptonshire,Conservative,64669, 31
Andrew Bowie,@AndrewBowieMP,West Aberdeenshire and Kincardine,Conservative,1573, 7
Andrew Bridgen,@ABridgen,North West Leicestershire,Conservative,13291, 10
Andrew Griffiths,@AndrewGriffiths,Burton,Conservative,13658, 7
Andrew Jones,@AJonesMP,Harrogate and Knaresborough,Conservative,10646, 6
Andrew Lewer,@ALewerMBE,Northampton South,Conservative,2343, 5
Andrew Rosindell,@AndrewRosindell,Romford,Conservative,8680, 7
Andrew Selous,@AndrewSelous,South West Bedfordshire,Conservative,12458, 1
Andrew Stephenson,@Andrew4Pendle,Pendle,Conservative,18158, 1
Anna Soubry,@Anna_Soubry,Broxtowe,Conservative,62357, -2
Anne Marie Morris,@AnneMarieMorris,Newton Abbot,Conservative,12624, 2
Anne Milton,@AnneMilton,Guildford,Conservative,12017, -2
Anne-Marie Trevelyan,@annietrev,Berwick-upon-Tweed,Conservative,7045, 1
Antoinette Sandbach,@Sandbach,Eddisbury,Conservative,7359, -1
Ben Bradley,@bbradleymp,Mansfield,Conservative,3215, 56
Ben Wallace,@BWallaceMP,Wyre and Preston North,Conservative,3743, 2
Bernard Jenkin,@bernardjenkin,Harwich and North Essex,Conservative,17259, 13
Bim Afolami,@BimAfolami,Hitchin and Harpenden,Conservative,3358, 8
Bob Blackman,@BobBlackman,Harrow East,Conservative,10198, 9
Bob Seely,@IoWBobSeely,Isle of Wight,Conservative,1448, 5
Boris Johnson,@BorisJohnson,Uxbridge and South Ruislip,Conservative,405111, 587
Brandon Lewis,@BrandonLewis,Great Yarmouth,Conservative,27411, 43
Caroline Dinenage,@cj_dinenage,Gosport,Conservative,12052, 10
Caroline Nokes,@carolinenokes,Romsey and Southampton North,Conservative,9317, 8
Caroline Spelman,@spelmanc,Meriden,Conservative,4887, 6
Charlie Elphicke,@CharlieElphicke,Dover,Conservative,12942, -1
Cheryl Gillan,@CherylGillan,Chesham and Amersham,Conservative,10409, 2
Chloe Smith,@NorwichChloe,Norwich North,Conservative,14766, 11
Chris Grayling,@commonsleader,Epsom and Ewell,Conservative,4518, 3
Chris Green,@CGreenUK,Bolton West,Conservative,4736, 2
Chris Heaton-Harris,@chhcalling,Daventry,Conservative,14582, -10
Chris Philp,@CPhilpOfficial,Croydon South,Conservative,5319, 9
Chris Skidmore,@CSkidmoreUK,Kingswood,Conservative,9275, -4
Christopher Pincher,@ChrisPincher,Tamworth,Conservative,12356, 0
Claire Perry,@claireperrymp,Devizes,Conservative,747, 0
Colin Clark,@Colin_J_Clark,Gordon,Conservative,1216, 3
Conor Burns,@ConorBurnsUK,Bournemouth West,Conservative,12654, -3
Craig Mackinlay,@cmackinlay,South Thanet,Conservative,5775, -2
Craig Tracey,@craig4nwarks,North Warwickshire,Conservative,4014, 0
Craig Whittaker,@CWhittakerMP,Calder Valley,Conservative,7244, 1
Crispin Blunt,@CrispinBlunt,Reigate,Conservative,6406, -2
Damian Collins,@DamianCollins,Folkestone and Hythe,Conservative,14456, 11
Damian Green,@DamianGreen,Ashford,Conservative,13902, 2
Damian Hinds,@DamianHinds,East Hampshire,Conservative,18489, 70
Damien Moore,@damienmooremp,Southport,Conservative,1010, 0
Daniel Kawczynski,@DKShrewsbury,Shrewsbury and Atcham,Conservative,9693, 1
David Davis,@daviddavismp,Haltemprice and Howden,Conservative,56610, 82
David Duguid,@david_duguid,Banff and Buchan,Conservative,674, 8
David Evennett,@DavidEvennett,Bexleyheath and Crayford,Conservative,10374, 3
David Gauke,@DavidGauke,South West Hertfordshire,Conservative,11544, 62
David Jones,@voteDavidJones,Clwyd West,Conservative,1032, 3
David Lidington,@DLidington,Aylesbury,Conservative,19037, 4
David Morris,@davidmorrisml,Morecambe and Lunesdale,Conservative,8822, 8
David Mundell,@DavidMundellDCT,Dumfriesshire Clydesdale and Tweeddale,Conservative,12129, 5
David Rutley,@DavidRutley,Macclesfield,Conservative,8647, 7
David T. C. Davies,@DavidTCDavies,Monmouth,Conservative,9804, 0
David Warburton,@DJWarburton,Somerton and Frome,Conservative,10688, -6
Derek Thomas,@DerekThomasUK,St Ives,Conservative,1757, 6
Desmond Swayne,@DesmondSwayne,New Forest West,Conservative,3914, -2
Dominic Raab,@DominicRaab,Esher and Walton,Conservative,4702, 41
Douglas Ross,@Douglas4Moray,Moray,Conservative,4378, 12
Dr Andrew Murrison,@AWMurrison,South West Wiltshire,Conservative,7315, 13
Dr Caroline Johnson,@drcarolinej,Sleaford and North Hykeham,Conservative,2050, 3
Dr Liam Fox,@LiamFox,North Somerset,Conservative,47985, 48
Dr Phillip Lee,@DrPhillipLeeMP,Bracknell,Conservative,11573, 10
Dr Thrse Coffey,@theresecoffey,Suffolk Coastal,Conservative,15975, 2
Eddie Hughes,@EddieHughes4WN,Walsall North,Conservative,1535, 11
Edward Leigh,@EdwardLeighMP,Gainsborough,Conservative,3496, 6
Edward Vaizey,@edvaizey,Wantage,Conservative,37333, -8
Eleanor Laing,@eleanor4epping,Epping Forest,Conservative,1042, 1
Elizabeth Truss,@trussliz,South West Norfolk,Conservative,37735, 19
Esther McVey,@EstherMcVey1,Tatton,Conservative,5582, 15
Gary Streeter,@garystreeterSWD,South West Devon,Conservative,1466, 1
Gavin Williamson,@GavinWilliamson,South Staffordshire,Conservative,14255, 13
Geoffrey Cox QC,@geoffrey_cox,Torridge and West Devon,Conservative,13523, 7
George Freeman,@Freeman_George,Mid Norfolk,Conservative,19963, 10
Giles Watling,@GilesWatling,Clacton,Conservative,1675, 2
Gillian Keegan,@GillianKeegan,Chichester,Conservative,2311, 19
Glyn Davies,@GlynDavies,Montgomeryshire,Conservative,6346, -1
Graham Stuart,@grahamstuart,Beverley and Holderness,Conservative,10787, -2
Grant Shapps,@grantshapps,Welwyn Hatfield,Conservative,88412, -21
Greg Clark,@GregClarkMP,Tunbridge Wells,Conservative,23980, 11
Greg Hands,@GregHands,Chelsea and Fulham,Conservative,21540, 3
Greg Knight,@GregKnight,East Yorkshire,Conservative,6123, 3
Guto Bebb,@GutoAberconwy,Aberconwy,Conservative,950, 2
Guy Opperman,@GuyOpperman,Hexham,Conservative,10800, 3
Harriett Baldwin,@hbaldwin,West Worcestershire,Conservative,17074, 68
Heather Wheeler,@HeatherWheeler,South Derbyshire,Conservative,11935, 21
Heidi Allen,@heidiallen75,South Cambridgeshire,Conservative,21829, -7
Helen Grant,@HelenGrantMP,Maidstone and The Weald,Conservative,14949, 0
Helen Whately,@Helen_Whately,Faversham and Mid Kent,Conservative,4152, 1
Henry Smith,@HenrySmithUK,Crawley,Conservative,8664, 4
Hugo Swire,@HugoSwire,East Devon,Conservative,16646, -1
Huw Merriman,@HuwMerriman,Bexhill and Battle,Conservative,4525, 15
Iain Stewart,@iainastewart,Milton Keynes South,Conservative,11854, 5
Jack Lopresti,@JackLopresti,Filton and Bradley Stoke,Conservative,3990, -3
Jackie Doyle-Price,@JackieDP,Thurrock,Conservative,4761, 1
Jacob Rees-Mogg,@Jacob_Rees_Mogg,North East Somerset,Conservative,93339, 270
Jake Berry,@JakeBerry,Rossendale and Darwen,Conservative,13851, 1
James Brokenshire,@JBrokenshire,Old Bexley and Sidcup,Conservative,18149, 4
James Cartlidge,@jc4southsuffolk,South Suffolk,Conservative,4550, 2
James Cleverly,@JamesCleverly,Braintree,Conservative,27736, 64
James Duddridge,@JamesDuddridge,Rochford and Southend East,Conservative,12452, -5
James Gray,@JGray,North Wiltshire,Conservative,11189, 17
James Heappey,@JSHeappey,Wells,Conservative,5234, 4
James Morris,@JamesMorris,Halesowen and Rowley Regis,Conservative,5895, 9
Jeremy Hunt,@Jeremy_Hunt,South West Surrey,Conservative,110758, 330
Jeremy Lefroy,@JeremyLefroy,Stafford,Conservative,8420, 7
Jesse Norman,@Jesse_Norman,Hereford and South Herefordshire,Conservative,20914, 8
Jo Churchill,@Jochurchill4,Bury St Edmunds,Conservative,5301, 14
John Glen,@JohnGlenUK,Salisbury,Conservative,16690, 4
John Howell,@JHowellUK,Henley,Conservative,3763, 4
John Lamont,@John2Win,Berwickshire Roxburgh and Selkirk,Conservative,5358, 5
John Penrose,@johnpenrosenews,Weston-super-Mare,Conservative,38754, -7
John Redwood,@johnredwood,Wokingham,Conservative,31769, 31
John Stevenson,@JohnStevensonMP,Carlisle,Conservative,7308, 4
John Whittingdale,@JWhittingdale,Maldon,Conservative,6769, 1
Johnny Mercer,@JohnnyMercerUK,Plymouth Moor View,Conservative,23754, 7
Jonathan Djanogly,@JDjanogly,Huntingdon,Conservative,11422, 10
Jonathan Lord,@JonathanLord,Woking,Conservative,698, 1
Joseph Johnson,@JoJohnsonUK,Orpington,Conservative,22578, 22
Julian Knight,@julianknight15,Solihull,Conservative,4683, 5
Julian Smith,@JulianSmithUK,Skipton and Ripon,Conservative,10485, 9
Justin Tomlinson,@JustinTomlinson,North Swindon,Conservative,14968, 11
Justine Greening,@JustineGreening,Putney,Conservative,65968, -4
Keith Simpson,@IainSimpson,Broadland,Conservative,1315, 3
Kelly Tolhurst,@KellyTolhurst,Rochester and Strood,Conservative,7163, 2
Kemi Badenoch,@KemiBadenoch,Saffron Walden,Conservative,8077, 51
Kevin Foster,@kevin_j_foster,Torbay,Conservative,4217, -2
Kevin Hollinrake,@kevinhollinrake,Thirsk and Malton,Conservative,6716, 6
Kirstene Hair,@Kirstene4Angus,Angus,Conservative,2677, 9
Kit Malthouse,@kitmalthouse,North West Hampshire,Conservative,5522, 11
Kwasi Kwarteng,@KwasiKwarteng,Spelthorne,Conservative,4252, 5
Laurence Robertson,@lrobertsonTewks,Tewkesbury,Conservative,1656, 0
Lee Benjamin Rowley,@Lee4NED,North East Derbyshire,Conservative,1546, 4
Leo Docherty,@LeoDochertyUK,Aldershot,Conservative,1644, 7
Lucy Allan,@lucyallan,Telford,Conservative,8376, 22
Lucy Frazer,@lucyfrazermp,South East Cambridgeshire,Conservative,2618, 6
Luke Graham,@LukeGrahamMP,Ochil and South Perthshire,Conservative,2620, 5
Luke Hall,@LukeHall,Thornbury and Yate,Conservative,1091, 5
Marcus Fysh,@MarcusFysh,Yeovil,Conservative,4569, 0
Marcus Jones,@Marcus4Nuneaton,Nuneaton,Conservative,5938, 8
Margot James,@margot_james_mp,Stourbridge,Conservative,16557, 68
Maria Caulfield,@mariacaulfield,Lewes,Conservative,9894, 29
Maria Miller,@MariaMillerUK,Basingstoke,Conservative,15990, 3
Mark Field,@MarkFieldUK,Cities of London and Westminster,Conservative,10515, 23
Mark Garnier,@Mark4WyreForest,Wyre Forest,Conservative,10766, -2
Mark Harper,@Mark_J_Harper,Forest of Dean,Conservative,8138, 0
Mark Lancaster,@MarkLancasterMK,Milton Keynes North,Conservative,7811, 12
Mark Pawsey,@MarkPawsey,Rugby,Conservative,4651, -2
Mark Prisk,@PriskMark,Hertford and Stortford,Conservative,5460, 4
Mark Pritchard,@MPritchardUK,The Wrekin,Conservative,8106, 15
Mark Spencer,@Mark_Spencer,Sherwood,Conservative,10936, 1
Martin Vickers,@MartinVickers,Cleethorpes,Conservative,6652, 10
Mary Robinson,@MaryRobinson01,Cheadle,Conservative,5005, 13
Matt Warman,@mattwarman,Boston and Skegness,Conservative,16181, -1
Matthew Hancock,@MattHancock,West Suffolk,Conservative,34755, 39
Matthew Offord,@Offord4Hendon,Hendon,Conservative,6273, 8
Mel Stride,@MelJStride,Central Devon,Conservative,593, 1
Michael Ellis,@Michael_Ellis1,Northampton North,Conservative,7757, 19
Michael Fabricant,@Mike_Fabricant,Lichfield,Conservative,27897, -3
Michael Gove,@michaelgove,Surrey Heath,Conservative,47639, 88
Michael Tomlinson,@Michael4MDNP,Mid Dorset and North Poole,Conservative,4131, 11
Michelle Donelan,@michelledonelan,Chippenham,Conservative,7780, 3
Mike Wood,@mikejwood,Dudley South,Conservative,3021, 5
Mims Davies,@mimsdavies,Eastleigh,Conservative,5604, 17
Nadhim Zahawi,@nadhimzahawi,Stratford-on-Avon,Conservative,23535, 51
Nadine Dorries,@NadineDorries,Mid Bedfordshire,Conservative,38036, 0
Neil O'Brien,@NeilDotObrien,Harborough,Conservative,6545, 3
Neil Parish,@neil_parish,Tiverton and Honiton,Conservative,2863, -1
Nicholas Soames,@NSoames,Mid Sussex,Conservative,30819, -19
Nick Boles,@NickBoles,Grantham and Stamford,Conservative,14187, 266
Nick Gibb,@NickGibbUK,Bognor Regis and Littlehampton,Conservative,9810, 10
Nick Herbert,@nickherbertmp,Arundel and South Downs,Conservative,14634, -2
Nick Hurd,@NickHurdUK,Ruislip Northwood and Pinner,Conservative,18755, -2
Nicky Morgan,@NickyMorgan01,Loughborough,Conservative,52005, 29
Nigel Adams,@nadams,Selby and Ainsty,Conservative,1574, -1
Nigel Evans,@ElectNigel,Ribble Valley,Conservative,145, 0
Nigel Huddleston,@HuddlestonNigel,Mid Worcestershire,Conservative,5675, 11
Nigel Mills,@nigelmills,Amber Valley,Conservative,2696, 3
Nusrat Ghani,@Nus_Ghani,Wealden,Conservative,8716, 486
Oliver Heald QC,@OliverHealdUK,North East Hertfordshire,Conservative,3975, 6
Oliver Letwin,@oletwinofficial,West Dorset,Conservative,4627, 4
Owen Paterson,@OwenPaterson,North Shropshire,Conservative,9815, 1
Patrick McLoughlin,@Patrick4Dales,Derbyshire Dales,Conservative,5175, -1
Paul Masterton,@PM4EastRen,East Renfrewshire,Conservative,3814, 6
Paul Maynard,@PaulMaynardUK,Blackpool North and Cleveleys,Conservative,17535, -3
Paul Scully,@scullyp,Sutton and Cheam,Conservative,6884, 0
Pauline Latham,@Pauline_Latham,Mid Derbyshire,Conservative,12148, 5
Penny Mordaunt,@PompeyToryParty,Portsmouth North,Conservative,509, 1
Peter Aldous,@peter_aldous,Waveney,Conservative,7763, 11
Peter Bone,@PeterBoneUK,Wellingborough,Conservative,13864, 7
Peter Heaton-Jones,@PeterNorthDevon,North Devon,Conservative,3382, 10
Philip Davies,@PhilipDaviesUK,Shipley,Conservative,18016, -8
Philip Dunne,@Dunne4Ludlow,Ludlow,Conservative,6204, 5
Philip Hammond,@PhilipHammondUK,Runnymede and Weybridge,Conservative,81447, 27
Priti Patel,@patel4witham,Witham,Conservative,38684, -1
Rachel Maclean,@redditchrachel,Redditch,Conservative,1829, 18
Ranil Jayawardena,@TeamRanil,North East Hampshire,Conservative,160, 2
Rebecca Harris,@RebeccaHarrisMP,Castle Point,Conservative,4447, -5
Rebecca Pow,@pow_rebecca,Taunton Deane,Conservative,5964, 2
Rehman Chishti,@Rehman_Chishti,Gillingham and Rainham,Conservative,10963, -11
Richard Bacon,@richardbaconmp,South Norfolk,Conservative,606, 3
Richard Benyon,@RichardBenyonMP,Newbury,Conservative,14521, -2
Richard Graham,@RichardGrahamUK,Gloucester,Conservative,7244, 9
Richard Harrington,@Richard4Watford,Watford,Conservative,10794, 7
Robert Buckland,@RobertBuckland,South Swindon,Conservative,15187, 12
Robert Courts,@robertcourts,Witney,Conservative,3819, 9
Robert Halfon,@halfon4harlowMP,Harlow,Conservative,26297, 8
Robert Jenrick,@RobertJenrick,Newark,Conservative,6983, 11
Robert Neill,@neill_bob,Bromley and Chislehurst,Conservative,6328, 45
Robert Syms,@RobertSyms,Poole,Conservative,3926, 5
Robin Walker,@WalkerWorcester,Worcester,Conservative,9893, 14
Rory Stewart,@RoryStewartUK,Penrith and The Border,Conservative,35495, -12
Ross Thomson,@RossThomson_MP,Aberdeen South,Conservative,5366, 5
Royston Smith,@Royston_Smith,Southampton Itchen,Conservative,3800, 2
Sajid Javid,@sajidjavid,Bromsgrove,Conservative,48867, 45
Sam Gyimah,@SamGyimah,East Surrey,Conservative,22077, 82
Sarah Newton,@SNewtonUK,Truro and Falmouth,Conservative,6331, 3
Sarah Wollaston,@sarahwollaston,Totnes,Conservative,42583, 29
Scott Mann,@scottmann4NC,North Cornwall,Conservative,3782, 5
Seema Kennedy,@SeemaKennedy,South Ribble,Conservative,5673, 2
Sheryll Murray,@sheryllmurray,South East Cornwall,Conservative,11862, 0
Simon Clarke,@SimonClarkeMP,Middlesbrough South and East Cleveland,Conservative,1841, 9
Simon Hart,@Simonhartmp,Carmarthen West and South Pembrokeshire,Conservative,3790, -2
Simon Hoare,@Simon4NDorset,North Dorset,Conservative,4039, 5
Stephen Barclay,@SteveBarclay,North East Cambridgeshire,Conservative,9602, 1
Stephen Crabb,@SCrabbPembs,Preseli Pembrokeshire,Conservative,22066, 2
Stephen Hammond,@S_Hammond,Wimbledon,Conservative,8982, 5
Stephen Kerr,@stephenkerrMP,Stirling,Conservative,2337, 8
Stephen McPartland,@SMcPartland,Stevenage,Conservative,5526, -3
Stephen Metcalfe,@Metcalfe_SBET,South Basildon and East Thurrock,Conservative,3960, 8
Steve Brine,@BrineMinister,Winchester,Conservative,1566, 5
Steve Double,@stevedouble,St Austell and Newquay,Conservative,4382, 5
Steven Baker,@SteveBakerHW,Wycombe,Conservative,21356, 6
Stuart Andrew,@StuartAndrew,Pudsey,Conservative,14211, -1
Suella Fernandes,@SuellaFernandes,Fareham,Conservative,7002, 32
Theresa May,@theresa_may,Maidenhead,Conservative,462427, 880
Tim Loughton,@timloughton,East Worthing and Shoreham,Conservative,16044, -4
Tobias Ellwood,@Tobias_Ellwood,Bournemouth East,Conservative,35479, 1
Tom Pursglove,@VotePursglove,Corby,Conservative,6307, -2
Tom Tugendhat,@TomTugendhat,Tonbridge and Malling,Conservative,11495, 13
Tracey Crouch,@tracey_crouch,Chatham and Aylesford,Conservative,23963, 94
Vicky Ford,@vickyford,Chelmsford,Conservative,9345, 3
Victoria Prentis,@VictoriaPrentis,Banbury,Conservative,4730, 13
Wendy Morton,@morton_wendy,Aldridge-Brownhills,Conservative,4507, 6
Will Quince,@willquince,Colchester,Conservative,8609, 11
William Cash,@BillCashMP,Stone,Conservative,3609, 0
William Wragg,@William_Wragg,Hazel Grove,Conservative,6054, 7
Zac Goldsmith,@ZacGoldsmith,Richmond Park,Conservative,70321, -26
David Simpson,@DavidSimpsonDUP,Upper Bann,Democratic Unionist Party,2845, 8
Emma Little-Pengelly,@little_pengelly,Belfast South,Democratic Unionist Party,7482, 2
Gavin Robinson,@GRobinsonDUP,Belfast East,Democratic Unionist Party,10112, 4
Ian Paisley,@ianpaisleymp,North Antrim,Democratic Unionist Party,14186, -11
Jeffrey M. Donaldson,@J_Donaldson_MP,Lagan Valley,Democratic Unionist Party,12616, 9
Jim Shannon,@JimShannonMP,Strangford,Democratic Unionist Party,1329, 1
Nigel Dodds,@NigelDoddsDUP,Belfast North,Democratic Unionist Party,13752, 4
Paul Girvan,@PaulGirvanMP,South Antrim,Democratic Unionist Party,3727, 3
Sammy Wilson,@eastantrimmp,East Antrim,Democratic Unionist Party,5151, 12
Caroline Lucas,@CarolineLucas,Brighton Pavilion,Green Party,287017, 22
Adrian Bailey,@AdrianBaileyMP,West Bromwich West,Labour,2132, 3
Afzal Khan,@Afzal4Gorton,Manchester Gorton,Labour,13903, 10
Alan Campbell,@alancampbellmp,Tynemouth,Labour,2878, 4
Albert Owen,@AlbertOwenMP,Ynys Mn,Labour,5562, -3
Alex Cunningham,@ACunninghamMP,Stockton North,Labour,15575, 7
Alex Norris,@ANorrisMP,Nottingham North,Labour,3001, 0
Alex Sobel,@alexsobel,Leeds North West,Labour,7155, 16
Alison McGovern,@Alison_McGovern,Wirral South,Labour,33923, 16
Andrew Gwynne,@GwynneMP,Denton and Reddish,Labour,31244, 19
Andy McDonald,@AndyMcDonaldMP,Middlesbrough,Labour,18520, 8
