name,twitter_name,constituency,party,followers,pos_change
Andy Slaughter,@hammersmithandy,Hammersmith,Labour,22787, 7
Angela Eagle,@angelaeagle,Wallasey,Labour,63174, 12
Angela Rayner,@AngelaRayner,Ashton-under-Lyne,Labour,79080, 82
Angela Smith,@angelasmithmp,Penistone and Stocksbridge,Labour,16456, 10
Ann Clwyd,@AnnClwyd,Cynon Valley,Labour,7190, 4
Ann Coffey,@anncoffey_mp,Stockport,Labour,8977, 14
Anna McMorrin,@annamcmorrin,Cardiff North,Labour,4786, 8
Anna Turley,@annaturley,Redcar,Labour,16238, -6
Anneliese Dodds,@AnnelieseDodds,Oxford East,Labour,8239, 7
Bambos Charalambous,@BambosMP,Enfield Southgate,Labour,4146, 6
Barbara Keeley,@KeeleyMP,Worsley and Eccles South,Labour,18069, 19
Barry Gardiner,@BarryGardiner,Brent North,Labour,49816, 10
Barry Sheerman,@BarrySheerman,Huddersfield,Labour,11858, -4
Ben Bradshaw,@BenPBradshaw,Exeter,Labour,48118, 24
Bill Esterson,@Bill_Esterson,Sefton Central,Labour,14593, 20
Bridget Phillipson,@bphillipsonMP,Houghton and Sunderland South,Labour,18857, -17
Caroline Flint,@CarolineFlintMP,Don Valley,Labour,60464, 17
Carolyn Harris,@carolynharris24,Swansea East,Labour,10385, 12
Cat Smith,@CatSmithMP,Lancaster and Fleetwood,Labour,30833, 11
Catherine McKinnell,@CatMcKinnell,Newcastle upon Tyne North,Labour,18436, 12
Catherine West,@CatherineWest1,Hornsey and Wood Green,Labour,19985, 42
Chi Onwurah,@ChiOnwurah,Newcastle upon Tyne Central,Labour,27108, 5
Chris Bryant,@RhonddaBryant,Rhondda,Labour,54379, 8
Chris Elmore,@CPJElmore,Ogmore,Labour,5455, 5
Chris Leslie,@ChrisLeslieMP,Nottingham East,Labour,23450, 2
Chris Ruane,@ChrisRuane2017,Vale of Clwyd,Labour,3698, 3
Chris Williamson,@DerbyChrisW,Derby North,Labour,23339, 32
Christian Matheson,@ChrisM4Chester,City of Chester,Labour,7313, 6
Christina Rees,@Rees4Neath,Neath,Labour,7134, 2
Christopher Evans,@ChrisEvansMP,Islwyn,Labour,3839, 7
Chuka Umunna,@ChukaUmunna,Streatham,Labour,262907, 33
Clive Efford,@CliveEfford,Eltham,Labour,10810, 2
Clive Lewis,@labourlewis,Norwich South,Labour,61894, 38
Conor McGinn,@ConorMcGinn,St Helens North,Labour,11087, 7
Dan Carden,@DanCardenMP,Liverpool Walton,Labour,6734, 21
Dan Jarvis,@DanJarvisMP,Barnsley Central,Labour,61628, 15
Daniel Zeichner,@DanielZeichner,Cambridge,Labour,16709, 2
Danielle Rowley,@DaniRowley,Midlothian,Labour,4871, 5
Darren Jones,@darrenpjones,Bristol North West,Labour,8675, 13
David Crausby,@DavidCrausby,Bolton North East,Labour,3600, 7
David Drew,@DavidEDrew,Stroud,Labour,4668, 3
David Hanson,@DavidHansonMP,Delyn,Labour,16528, 17
David Lammy,@DavidLammy,Tottenham,Labour,290763, -65
Dawn Butler,@DawnButlerBrent,Brent Central,Labour,26454, 26
Debbie Abrahams,@Debbie_abrahams,Oldham East and Saddleworth,Labour,33225, 42
Derek Twigg,@DerekTwiggMP,Halton,Labour,3423, -1
Diana Johnson,@DianaJohnsonMP,Kingston upon Hull North,Labour,20820, 13
Diane Abbott,@HackneyAbbott,Hackney North and Stoke Newington,Labour,194604, 3
Dr Alan Whitehead,@alanwhiteheadmp,Southampton Test,Labour,6066, 0
Dr Roberta Blackman-Woods,@robertabwMP,City of Durham,Labour,16884, 12
Dr Rosena Allin-Khan,@DrRosena,Tooting,Labour,29053, 22
Dr Rupa Huq,@RupaHuq,Ealing Central and Acton,Labour,26141, 23
Edward Miliband,@Ed_Miliband,Doncaster North,Labour,753913, -78
Eleanor Smith,@Eleanor_SmithMP,Wolverhampton South West,Labour,4421, 6
Ellie Reeves,@elliereeves,Lewisham West and Penge,Labour,11358, -6
Emily Thornberry,@EmilyThornberry,Islington South and Finsbury,Labour,91971, 118
Emma Dent Coad,@emmadentcoad,Kensington,Labour,10391, 15
Emma Hardy,@EmmaHardyMP,Kingston upon Hull West and Hessle,Labour,10887, 7
Emma Lewell-Buck,@EmmaLewellBuck,South Shields,Labour,13325, 7
Emma Reynolds,@EmmaReynoldsMP,Wolverhampton North East,Labour,20277, 4
Fabian Hamilton,@FabianLeedsNE,Leeds North East,Labour,1157, 1
Faisal Rashid,@FaisalRashid6,Warrington South,Labour,2224, 2
Fiona Onasanya,@FionaOnasanyaMP,Peterborough,Labour,3878, 8
Frank Field,@frankfieldteam,Birkenhead,Labour,18221, 46
Gareth Snell,@gareth_snell,Stoke-on-Trent Central,Labour,5491, 3
Gareth Thomas,@GarethThomasMP,Harrow West,Labour,11280, 4
Gavin Shuker,@gavinshuker,Luton South,Labour,10954, -1
Geoffrey Robinson,@Geoffrey4CovNW,Coventry North West,Labour,648, 0
Geraint Davies,@GeraintDaviesMP,Swansea West,Labour,11005, 6
Gerald Jones,@GeraldJonesLAB,Merthyr Tydfil and Rhymney,Labour,5396, 4
Gerard Killen,@Gedk,Rutherglen and Hamilton West,Labour,3116, 9
Gill Furniss,@GillFurnissMP,Sheffield Brightside and Hillsborough,Labour,3225, 2
Gloria De Piero,@GloriaDePiero,Ashfield,Labour,47222, 7
Gordon Marsden,@GordonMarsden,Blackpool South,Labour,6682, 7
Graham Jones,@GrahamJones_MP,Hyndburn,Labour,8654, 6
Grahame Morris,@grahamemorris,Easington,Labour,25480, 8
Harriet Harman QC,@harrietharman,Camberwell and Peckham,Labour,145662, 43
Heidi Alexander,@heidi_mp,Lewisham East,Labour,37368, 18
Helen Goodman,@HelenGoodmanMP,Bishop Auckland,Labour,16382, 9
Helen Hayes,@helenhayes_,Dulwich and West Norwood,Labour,11582, 27
Helen Jones,@HelenJonesMP,Warrington North,Labour,6666, 5
Hilary Benn,@hilarybennmp,Leeds Central,Labour,80393, 1
Holly Lynch,@hollylynch5,Halifax,Labour,10860, 12
Hugh Gaffney,@hgaffney48,Coatbridge Chryston and Bellshill,Labour,721, 2
Ian Austin,@IanAustinMP,Dudley North,Labour,15983, 2
Ian C. Lucas,@IanCLucas,Wrexham,Labour,9830, 4
Ian Lavery,@IanLaveryMP,Wansbeck,Labour,28554, 20
Ian Mearns,@IanMearnsMP,Gateshead,Labour,19875, 15
Ian Murray,@IanMurrayMP,Edinburgh South,Labour,16994, 4
Imran Hussain,@Imran_HussainMP,Bradford East,Labour,10036, 6
Ivan Lewis,@IvanLewis_MP,Bury South,Labour,14154, -4
Jack Dromey,@JackDromeyMP,Birmingham Erdington,Labour,19904, 16
James Frith,@BuryNorthLabour,Bury North,Labour,855, -1
Jeff Smith,@JeffSmithetc,Manchester Withington,Labour,6365, 1
Jenny Chapman,@JennyChapman,Darlington,Labour,15797, 3
Jeremy Corbyn,@jeremycorbyn,Islington North,Labour,1699117, 233
Jess Phillips,@jessphillips,Birmingham Yardley,Labour,72357, 23
Jessica Morden,@jessicamordenmp,Newport East,Labour,7741, 4
Jim Cunningham,@jimforcovsouth,Coventry South,Labour,830, 3
Jim Fitzpatrick,@FitzMP,Poplar and Limehouse,Labour,11269, -1
Jim McMahon,@JimfromOldham,Oldham West and Royton,Labour,17415, 11
Jo Platt,@JoPlattMP,Leigh,Labour,5639, 20
Jo Stevens,@JoStevensLabour,Cardiff Central,Labour,16261, 22
Joan Ryan,@joanryanEnfield,Enfield North,Labour,8047, 15
John Cryer,@JohnCryerMP,Leyton and Wanstead,Labour,2825, 1
John Grogan,@KeighleyLabour,Keighley,Labour,1404, 0
John Healey,@JohnHealey_MP,Wentworth and Dearne,Labour,20923, 19
John Mann,@JohnMannMP,Bassetlaw,Labour,22470, 6
John McDonnell,@johnmcdonnellMP,Hayes and Harlington,Labour,142418, 104
John Spellar,@spellar,Warley,Labour,8908, 5
John Woodcock,@JWoodcockMP,Barrow and Furness,Labour,32056, 10
Jon Cruddas,@JonCruddas_1,Dagenham and Rainham,Labour,18491, 3
Jon Trickett,@jon_trickett,Hemsworth,Labour,17250, 9
Jonathan Ashworth,@JonAshworth,Leicester South,Labour,44288, 60
Jonathan Reynolds,@jreynoldsMP,Stalybridge and Hyde,Labour,30925, 14
Judith Cummins,@JudithCummins,Bradford South,Labour,8344, 8
Julie Cooper,@JulieForBurnley,Burnley,Labour,5685, 7
Julie Elliott,@JulieElliottMP,Sunderland Central,Labour,12535, 16
Justin Madders,@justinmadders,Ellesmere Port and Neston,Labour,8864, 11
Karen Buck,@KarenPBuckMP,Westminster North,Labour,12160, 250
Karen Lee,@KarenLeeMP,Lincoln,Labour,5036, 35
Karin Smyth,@karinsmyth,Bristol South,Labour,6914, 6
Karl Turner,@KarlTurnerMP,Kingston upon Hull East,Labour,22627, 4
Kate Green,@KateGreenSU,Stretford and Urmston,Labour,29089, 9
Kate Hoey,@KateHoeyMP,Vauxhall,Labour,25229, 13
Kate Hollern,@Kate_HollernMP,Blackburn,Labour,4946, 0
Kate Osamor,@KateOsamor,Edmonton,Labour,17999, 17
Keir Starmer,@Keir_Starmer,Holborn and St Pancras,Labour,83304, 56
Keith Vaz,@Keith_Vaz_MP,Leicester East,Labour,0, 0
Kerry McCarthy,@KerryMP,Bristol East,Labour,30315, 4
Kevan Jones,@KevanJonesMP,North Durham,Labour,16979, 14
Kevin Barron,@KevinBarronMP,Rother Valley,Labour,2882, 3
Kevin Brennan,@KevinBrennanMP,Cardiff West,Labour,16960, -1
Khalid Mahmood,@khalid4PB,Birmingham Perry Barr,Labour,3075, 5
Laura Pidcock,@LauraPidcockMP,North West Durham,Labour,33938, 60
Laura Smith,@CreweLabour,Crewe and Nantwich,Labour,782, -2
Lesley Laird,@LesleyLaird,Kirkcaldy and Cowdenbeath,Labour,2615, 1
Liam Byrne,@LiamByrneMP,Birmingham Hodge Hill,Labour,28631, 11
Lilian Greenwood,@LilianGreenwood,Nottingham South,Labour,20933, 19
Lindsay Hoyle,@LindsayHoyle_MP,Chorley,Labour,10829, -15
Lisa Nandy,@lisanandy,Wigan,Labour,48192, 13
Liz Kendall,@leicesterliz,Leicester West,Labour,77863, 14
Liz McInnes,@LizMcInnes_MP,Heywood and Middleton,Labour,11618, 8
Liz Twist,@LizTwistMP,Blaydon,Labour,1049, 1
Lloyd Russell-Moyle,@lloyd_rm,Brighton Kemptown,Labour,5437, 4
Louise Ellman,@LouiseEllman,Liverpool Riverside,Labour,23375, 16
Louise Haigh,@LouHaigh,Sheffield Heeley,Labour,19189, 14
Luciana Berger,@lucianaberger,Liverpool Wavertree,Labour,67285, 16
Lucy Powell,@LucyMPowell,Manchester Central,Labour,36117, 22
Luke Pollard,@LukePollard,Plymouth Sutton and Devonport,Labour,12796, 11
Lyn Brown,@lynbrownmp,West Ham,Labour,8717, 10
Madeleine Moon,@MadeleineMoon,Bridgend,Labour,6826, 9
Margaret Greenwood,@MGreenwoodWW,Wirral West,Labour,9333, 12
Margaret Hodge,@margarethodge,Barking,Labour,24805, -1
Maria Eagle,@meaglemp,Garston and Halewood,Labour,39150, 20
Mark Hendrick,@MpHendrick,Preston,Labour,2831, 4
Mark Tami,@MarkTamiMP,Alyn and Deeside,Labour,4741, 13
Marsha de Cordova,@Marshadecordova,Battersea,Labour,12611, 27
Martin Whitfield,@MartWhitfieldMP,East Lothian,Labour,2057, 6
Mary Creagh,@MaryCreaghMP,Wakefield,Labour,32846, 15
Mary Glindon,@GlindonMary,North Tyneside,Labour,686, 4
Matt Rodda,@MattRodda,Reading East,Labour,2693, 3
Matt Western,@MattWestern_,Warwick and Leamington,Labour,2528, 4
Matthew Pennycook,@mtpennycook,Greenwich and Woolwich,Labour,11456, 7
Meg Hillier,@Meg_HillierMP,Hackney South and Shoreditch,Labour,15343, 1
Melanie Onn,@OnnMel,Great Grimsby,Labour,12229, 10
Mike Amesbury,@MikeAmesbury,Weaver Vale,Labour,4724, 3
Mike Gapes,@MikeGapes,Ilford South,Labour,21938, 11
Mike Hill,@MikeHillMP,Hartlepool,Labour,1403, 1
Mike Kane,@MikeKaneMP,Wythenshawe and Sale East,Labour,7920, 1
Mohammad Yasin,@yasinmpbedford,Bedford,Labour,465, 1
Naz Shah,@NazShahBfd,Bradford West,Labour,22860, 0
Neil Coyle,@coyleneil,Bermondsey and Old Southwark,Labour,13779, 29
Nia Griffith,@NiaGriffithMP,Llanelli,Labour,12084, 11
Nic Dakin,@NicDakinMP,Scunthorpe,Labour,15059, 3
Nick Smith,@BlaenauGwentMP,Blaenau Gwent,Labour,6292, 9
Nick Thomas-Symonds,@NickTorfaenMP,Torfaen,Labour,6061, 5
Owen Smith,@OwenSmith_MP,Pontypridd,Labour,55094, 5
Pat McFadden,@patmcfaddenmp,Wolverhampton South East,Labour,17811, 8
Paul Blomfield,@PaulBlomfieldMP,Sheffield Central,Labour,15186, 4
Paul Daniel Williams,@PaulWilliamsMP,Stockton South,Labour,3654, 9
Paul Flynn,@PaulFlynnMP,Newport West,Labour,21722, -3
Paul Sweeney,@PaulJSweeney,Glasgow North East,Labour,5429, 7
Paula Sherriff,@paulasherriff,Dewsbury,Labour,15533, 10
Peter Dowd,@Peter_Dowd,Bootle,Labour,7404, 16
Peter Kyle,@peterkyle,Hove,Labour,14228, -2
Phil Wilson,@MPphilwilson,Sedgefield,Labour,14343, 15
Preet Gill,@PreetKGillMP,Birmingham Edgbaston,Labour,10565, 9
Rachael Maskell,@RachaelMaskell,York Central,Labour,16409, -2
Rachel Reeves,@RachelReevesMP,Leeds West,Labour,74192, 18
Rebecca Long-Bailey,@RLong_Bailey,Salford and Eccles,Labour,33703, 54
Richard Burden,@RichardBurdenMP,Birmingham Northfield,Labour,15419, 15
Richard Burgon,@RichardBurgon,Leeds East,Labour,45055, 10
Roger Godsiff,@RogerGodsiff,Birmingham Hall Green,Labour,9521, 10
Ronnie Campbell,@BVLabour,Blyth Valley,Labour,883, -1
Rosie Cooper,@rosie4westlancs,West Lancashire,Labour,9011, 8
Rosie Duffield,@RosieDuffield1,Canterbury,Labour,7267, 22
Rushanara Ali,@rushanaraali,Bethnal Green and Bow,Labour,26029, 13
Ruth Cadbury,@RuthCadbury,Brentford and Isleworth,Labour,13667, 20
Ruth George,@RuthGeorge6,High Peak,Labour,1390, 3
Ruth Smeeth,@RuthSmeeth,Stoke-on-Trent North,Labour,9539, -3
Sandy Martin,@sandyofipswich,Ipswich,Labour,3866, 9
Sarah Champion,@SarahChampionMP,Rotherham,Labour,35112, 7
Sarah Jones,@LabourSJ,Croydon Central,Labour,7143, 8
Seema Malhotra,@SeemaMalhotra1,Feltham and Heston,Labour,20330, 14
Shabana Mahmood,@ShabanaMahmood,Birmingham Ladywood,Labour,16903, 13
Sharon Hodgson,@SharonHodgsonMP,Washington and Sunderland West,Labour,23463, 23
Siobhain McDonagh,@Siobhain_MP,Mitcham and Morden,Labour,12357, 9
Stella Creasy,@stellacreasy,Walthamstow,Labour,101151, 33
Stephanie Peacock,@Steph_Peacock,Barnsley East,Labour,4481, 8
Stephen Doughty,@SDoughtyMP,Cardiff South and Penarth,Labour,16171, 12
Stephen Hepburn,@jarrowstevemp,Jarrow,Labour,2341, 1
Stephen Kinnock,@SKinnock,Aberavon,Labour,17185, 4
Stephen Morgan,@StephenMorganMP,Portsmouth South,Labour,3817, -4
Stephen Timms,@stephenctimms,East Ham,Labour,12893, 7
Stephen Twigg,@StephenTwigg,Liverpool West Derby,Labour,34706, 16
Steve McCabe,@steve_mccabe,Birmingham Selly Oak,Labour,14728, -1
Steve Reed,@SteveReedMP,Croydon North,Labour,24684, -3
Sue Hayman,@SueHayman1,Workington,Labour,6823, 18
Susan Elan Jones,@susanelanjones,Clwyd South,Labour,3302, 5
Tanmanjit Singh Dhesi,@TanDhesi,Slough,Labour,9985, 22
Teresa Pearce,@tpearce003,Erith and Thamesmead,Labour,10605, 1
Thangam Debbonaire,@ThangamMP,Bristol West,Labour,13568, 1
Thelma Walker,@Thelma_WalkerMP,Colne Valley,Labour,2834, 8
Toby Perkins,@tobyperkinsmp,Chesterfield,Labour,23811, 7
Tom Watson,@tom_watson,West Bromwich East,Labour,242483, 2
Tonia Antoniazzi,@ToniaAntoniazzi,Gower,Labour,3768, 1
Tony Lloyd,@tony4rochdale,Rochdale,Labour,6587, 1
Tracy Brabin,@TracyBrabin,Batley and Spen,Labour,16747, 42
Tulip Siddiq,@TulipSiddiq,Hampstead and Kilburn,Labour,94851, -57
Valerie Vaz,@Valerie_VazMP,Walsall South,Labour,3770, -3
Vernon Coaker,@Vernon_Coaker,Gedling,Labour,19697, 11
Vicky Foxcroft,@vickyfoxcroft,Lewisham Deptford,Labour,9432, 7
Virendra Sharma,@VirendraSharma,Ealing Southall,Labour,14318, 3
Wayne David,@WayneDavid_MP,Caerphilly,Labour,9552, 6
Wes Streeting,@wesstreeting,Ilford North,Labour,38708, 5
Yasmin Qureshi,@YasminQureshiMP,Bolton South East,Labour,14773, 5
Yvette Cooper,@YvetteCooperMP,Normanton Pontefract and Castleford,Labour,153035, 61
Yvonne Fovargue,@Y_FovargueMP,Makerfield,Labour,7680, 12
Alistair Carmichael,@amcarmichaelMP,Orkney and Shetland,Liberal Democrat,12964, 10
Christine Jardine,@cajardineMP,Edinburgh West,Liberal Democrat,3823, 7
Edward Davey,@EdwardJDavey,Kingston and Surbiton,Liberal Democrat,14765, -1
Jamie Stone,@JamieHWStone,Caithness Sutherland and Easter Ross,Liberal Democrat,123, 3
Jo Swinson,@joswinson,East Dunbartonshire,Liberal Democrat,33372, 9
Layla Moran,@laylamoran,Oxford West and Abingdon,Liberal Democrat,14520, 9
Norman Lamb,@normanlamb,North Norfolk,Liberal Democrat,39511, 16
Stephen Lloyd,@StephenLloydEBN,Eastbourne,Liberal Democrat,3810, 8
Tim Farron,@timfarron,Westmorland and Lonsdale,Liberal Democrat,296565, -89
Tom Brake,@thomasbrake,Carshalton and Wallington,Liberal Democrat,50392, 69
Vincent Cable,@vincecable,Twickenham,Liberal Democrat,129753, 34
Wera Hobhouse,@Wera_Hobhouse,Bath,Liberal Democrat,5858, 16
Ben Lake,@BenMLake,Ceredigion,Plaid Cymru,2961, 1
Hywel Williams,@HywelPlaidCymru,Arfon,Plaid Cymru,6502, 4
Jonathan Edwards,@JonathanPlaid,Carmarthen East and Dinefwr,Plaid Cymru,8869, -5
Liz Saville-Roberts,@LSRPlaid,Dwyfor Meirionnydd,Plaid Cymru,5257, 4
Alan Brown,@AlanBrownSNP,Kilmarnock and Loudoun,Scottish National Party,7516, 0
Alison Thewliss,@alisonthewliss,Glasgow Central,Scottish National Party,15538, 3
Angela Crawley,@AngelaCrawley30,Lanark and Hamilton East,Scottish National Party,10519, 7
Angus MacNeil,@AngusMacNeilSNP,Na h-Eileanan an Iar,Scottish National Party,23617, -3
Brendan O'Hara,@BrendanOHaraSNP,Argyll and Bute,Scottish National Party,8514, 5
Carol Monaghan,@CMonaghanSNP,Glasgow North West,Scottish National Party,11734, 3
Chris Law,@ChrisLawSNP,Dundee West,Scottish National Party,12343, 5
Chris Stephens,@ChrisStephens,Glasgow South West,Scottish National Party,11242, 15
David Linden,@DavidLinden,Glasgow East,Scottish National Party,4724, 7
Deidre Brock,@DeidreBrock,Edinburgh North and Leith,Scottish National Party,8568, 4
Douglas Chapman,@DougChapmanSNP,Dunfermline and West Fife,Scottish National Party,8705, 4
Dr Lisa Cameron,@DrLisaCameronMP,East Kilbride Strathaven and Lesmahagow,Scottish National Party,9562, 4
Dr Philippa Whitford,@Dr_PhilippaW,Central Ayrshire,Scottish National Party,14226, 10
Drew Hendry,@drewhendrySNP,Inverness Nairn Badenoch and Strathspey,Scottish National Party,9141, 7
Gavin Newlands,@GavNewlandsSNP,Paisley and Renfrewshire North,Scottish National Party,8349, 7
Hannah Bardell,@HannahB4LiviMP,Livingston,Scottish National Party,12862, -17
Ian Blackford,@IanBlackfordMP,Ross Skye and Lochaber,Scottish National Party,10365, 16
Joanna Cherry QC,@joannaccherry,Edinburgh South West,Scottish National Party,22990, 5
John Mc Nally,@JohnMcNallyMP,Falkirk,Scottish National Party,5661, 9
Kirsty Blackman,@KirstySNP,Aberdeen North,Scottish National Party,10856, 7
Marion Fellows,@marionfellows,Motherwell and Wishaw,Scottish National Party,6785, 7
Martin Docherty-Hughes,@martinjdocherty,West Dunbartonshire,Scottish National Party,9218, 2
Martyn Day,@MartynDaySNP,Linlithgow and East Falkirk,Scottish National Party,6663, 8
Mhairi Black,@MhairiBlack,Paisley and Renfrewshire South,Scottish National Party,120739, -31
Neil Gray,@NeilGrayMP,Airdrie and Shotts,Scottish National Party,7660, 8
Patricia Gibson,@PGibsonSNP,North Ayrshire and Arran,Scottish National Party,7939, 6
Patrick Grady,@GradySNP,Glasgow North,Scottish National Party,10244, 10
Pete Wishart,@PeteWishart,Perth and North Perthshire,Scottish National Party,33869, 0
Peter Grant,@PeterGrantMP,Glenrothes,Scottish National Party,7632, 3
Ronnie Cowan,@ronniecowan,Inverclyde,Scottish National Party,7191, -12
Stephen Gethins,@StephenGethins,North East Fife,Scottish National Party,12280, 9
Stewart Hosie,@StewartHosieSNP,Dundee East,Scottish National Party,22738, 2
Stewart Malcolm McDonald,@StewartMcDonald,Glasgow South,Scottish National Party,16299, 0
Stuart C. McDonald,@Stuart_McDonald,Cumbernauld Kilsyth and Kirkintilloch East,Scottish National Party,8033, 6
Tommy Sheppard,@TommySheppard,Edinburgh East,Scottish National Party,22411, 5
Barry McElduff,@BarryMcElduff,West Tyrone,Sinn Fein,16295, -1
Christopher Hazzard,@ChrisHazzardSF,South Down,Sinn Fein,8949, 4
Elisha McCallion,@ElishaMcC_SF,Foyle,Sinn Fein,4094, 10
Francie Molloy,@FrancieMolloy,Mid Ulster,Sinn Fein,4970, 5
Michelle Gildernew,@gildernewm,Fermanagh and South Tyrone,Sinn Fein,14285, 8
Mickey Brady,@MickeyBradySF,Newry and Armagh,Sinn Fein,3136, 5
Paul Maskey,@PaulMaskeyMP,Belfast West,Sinn Fein,12971, 6
